Number,Condition
AUT0002175,assignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^ORassignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658396^ORshort_descriptionLIKEblp00658397^ORshort_descriptionLIKEblp00658398^ORshort_descriptionLIKEblp00658399^ORshort_descriptionLIKEblp00658471^ORshort_descriptionLIKEblp00658472^ORshort_descriptionLIKEblp00658473^ORshort_descriptionLIKEblp00658474^ORshort_descriptionLIKEblp00658547^ORshort_descriptionLIKEblp00658548^ORshort_descriptionLIKEblp00658549^ORshort_descriptionLIKEblp00658550^ORshort_descriptionLIKEblp00658619^ORshort_descriptionLIKEblp00658620^ORshort_descriptionLIKEblp00658621^ORshort_descriptionLIKEblp00658622^EQ
AUT0002174,assignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^ORassignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658392^ORshort_descriptionLIKEblp00658393^ORshort_descriptionLIKEblp00658394^ORshort_descriptionLIKEblp00658395^ORshort_descriptionLIKEblp00658467^ORshort_descriptionLIKEblp00658468^ORshort_descriptionLIKEblp00658469^ORshort_descriptionLIKEblp00658470^ORshort_descriptionLIKEblp00658543^ORshort_descriptionLIKEblp00658544^ORshort_descriptionLIKEblp00658545^ORshort_descriptionLIKEblp00658546^ORshort_descriptionLIKEblp00658615^ORshort_descriptionLIKEblp00658616^ORshort_descriptionLIKEblp00658617^ORshort_descriptionLIKEblp00658618^EQ
AUT0002165,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658386^ORshort_descriptionLIKEblp00658387^ORshort_descriptionLIKEblp00658388^ORshort_descriptionLIKEblp00658389^ORshort_descriptionLIKEblp00658461^ORshort_descriptionLIKEblp00658462^ORshort_descriptionLIKEblp00658463^ORshort_descriptionLIKEblp00658464^ORshort_descriptionLIKEblp00658537^ORshort_descriptionLIKEblp00658538^ORshort_descriptionLIKEblp00658539^ORshort_descriptionLIKEblp00658540^ORshort_descriptionLIKEblp00658619^ORshort_descriptionLIKEblp00658620^ORshort_descriptionLIKEblp00658621^ORshort_descriptionLIKEblp00658622^EQ
AUT0002160,assignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^short_descriptionLIKEThe Sql query is taking more than 5 minutes. Please check.^short_descriptionSTARTSWITHMonitorIT:^EQ
AUT0002159,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEfrom vTM Pool^short_descriptionLIKEis not responding^EQ
AUT0002158,business_service=036352bcdb1f6410609eae3bd39619b3^descriptionLIKE/wls_domains_logs^ORdescriptionLIKE/var^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^EQ
AUT0002157,business_service=036352bcdb1f6410609eae3bd39619b3^short_descriptionLIKEDynatrace: Process unavailable^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^EQ
AUT0002156,short_descriptionSTARTSWITHStandard service request test^EQ
AUT0002156,business_service=b8535a7cdb1f6410609eae3bd396193d^short_descriptionLIKEDynatrace: Process unavailable^ORshort_descriptionLIKEDynatrace: Connectivity problem^descriptionLIKEProcess WebLogic^EQ
AUT0002146,cmdb_ci=519f86ce972ae510d368fbde2153afee^assignment_group=1daaa38b1b5fa4d0bdcb42a7b04bcb06^short_descriptionLIKEDTBAL:NOW TV RTR TIMEOUT- BAL ASG please check the RTR process^EQ
AUT0002143,short_descriptionLIKEKolkata DLF Tower^short_descriptionLIKEon call^ORshort_descriptionLIKEOn call^ORshort_descriptionLIKEtransfer^ORshort_descriptionLIKEIRP^ORshort_descriptionLIKEirp^ORshort_descriptionLIKElogged out^ORshort_descriptionLIKEOncall^ORshort_descriptionLIKELogged out^ORshort_descriptionLIKETransfer^EQ
AUT0002139,short_descriptionLIKESHIELD Error: Problem encountered while downloading IP block list^assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^EQ
AUT0002136,short_descriptionLIKEDynatrace: DTAVALON  Avalon_SMLOGSCAN check log^assignment_group=1daaa38b1b5fa4d0bdcb42a7b04bcb06^descriptionNOT LIKEunable^descriptionNOT LIKEfailed^descriptionNOT LIKEExpired^descriptionNOT LIKENOT IN A COMPILED STATE^descriptionNOT LIKEabort^descriptionNOT LIKEPermission denied^descriptionNOT LIKEFATAL^descriptionNOT LIKEfailure^descriptionNOT LIKENo space^descriptionLIKEORA-^ORdescriptionLIKEERROR^EQ
AUT0002135,short_descriptionLIKEDynatrace: Low disk space^descriptionLIKEdisk /data is lower^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002133,business_service=d1831abcdb1f6410609eae3bd3961984^short_descriptionLIKECFT^assignment_group=a7aaab8b1b5fa4d0bdcb42a7b04bcb56^EQ
AUT0002128,short_descriptionSTARTSWITHRE: Re-queue Messages OV^EQ
AUT0002120,short_descriptionLIKEWLS health status on server not available^assignment_group=43aa2b8b1b5fa4d0bdcb42a7b04bcb2f^EQ
AUT0002119,short_descriptionLIKEWLS free heap percentage on managed server more than the threshold value^assignment_group=43aa2b8b1b5fa4d0bdcb42a7b04bcb2f^EQ
AUT0002117,short_descriptionLIKEAPT Critical - WLS managed server not available^ORshort_descriptionLIKEAPT  Critical - WLS free heap percentage on managed server^ORshort_descriptionLIKEAPT  Critical - WLS health status on server not available^assignment_group=43aa2b8b1b5fa4d0bdcb42a7b04bcb2f^EQ
AUT0002116,short_descriptionLIKEDynatrace^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^short_descriptionLIKEAutoload^EQ
AUT0002113,short_descriptionLIKELow number of inodes available^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002111,short_descriptionLIKE-Job Definition Failed:^EQ
AUT0002109,short_descriptionSTARTSWITHtesting for EcoFr app^EQ
AUT0002105,short_descriptionSTARTSWITHResponse time^EQ
AUT0002105,short_descriptionLIKE : CS Agent :^state=1^short_descriptionLIKEbroadband^short_descriptionLIKElink^short_descriptionENDSWITH-vinayak-test^EQ
AUT0002104,short_descriptionSTARTSWITHTotal request on DCP^EQ
AUT0002103,short_descriptionSTARTSWITHFailure rate increase:^EQ
AUT0002099,assignment_group=1daaa38b1b5fa4d0bdcb42a7b04bcb06^short_descriptionLIKEDTAVALON Critical Found in NowtV log check /data/voip/asg/ruchi/NowTV/NowTV_count.log^descriptionLIKECRITICAL :: /home/voip/dead.letter file size^EQ
AUT0002097,assignment_group=99baef8b1b5fa4d0bdcb42a7b04bcbd5^ORassignment_group=ddbaef8b1b5fa4d0bdcb42a7b04bcbd9^ORassignment_group=19baef8b1b5fa4d0bdcb42a7b04bcbd8^ORassignment_group=51baef8b1b5fa4d0bdcb42a7b04bcbd7^short_descriptionLIKE/logs are  filling  above 75%^ORshort_descriptionLIKE/logs is filling up^ORshort_descriptionLIKE/logs partition has exceeded 75% full^ORshort_descriptionLIKE/logs is getting full^ORshort_descriptionLIKE/logs is above 75%^short_descriptionLIKEblp00658390^ORshort_descriptionLIKEblp00658391^ORshort_descriptionLIKEblp00658647^ORshort_descriptionLIKEblp00658378^ORshort_descriptionLIKEblp00658648^ORshort_descriptionLIKEblp00658385^ORshort_descriptionLIKEblp00658451^ORshort_descriptionLIKEblp00658452^ORshort_descriptionLIKEblp00658465^ORshort_descriptionLIKEblp00658466^ORshort_descriptionLIKEblp00658459^ORshort_descriptionLIKEblp00658460^ORshort_descriptionLIKEblp00658527^ORshort_descriptionLIKEblp00658528^ORshort_descriptionLIKEblp00658541^ORshort_descriptionLIKEblp00658542^ORshort_descriptionLIKEblp00658535^ORshort_descriptionLIKEblp00658536^ORshort_descriptionLIKEblp00658599^ORshort_descriptionLIKEblp00658600^ORshort_descriptionLIKEblp00658613^ORshort_descriptionLIKEblp00658614^ORshort_descriptionLIKEblp00658607^ORshort_descriptionLIKEblp00658608^EQ
AUT0002096,short_descriptionLIKELow disk space^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^descriptionLIKE/bal/app^EQ
AUT0002095,short_descriptionLIKEither Process not running or high CPU or RAM utilization^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbc9^EQ
AUT0002091,short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domains^ORdescriptionLIKE/var^business_service=d3535e7cdb1f6410609eae3bd3961942^EQ
AUT0002083,short_description=test-retry-pipeline^EQ
AUT0002082,business_service=d77396bcdb1f6410609eae3bd3961979^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/logs^ORdescriptionLIKE/data^ORdescriptionLIKE/logs_archive^ORdescriptionLIKE/var^EQ
AUT0002078,business_service=7b535e7cdb1f6410609eae3bd39619d6^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domains^ORdescriptionLIKE/wls_domains_logs^ORdescriptionLIKE/var^EQ
AUT0002069,short_descriptionLIKEXFB is not running^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002057,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKE[APP12126]StuckFaultsProgressed Custom Severity^assignment_group=09baef8b1b5fa4d0bdcb42a7b04bcbcf^EQ
AUT0002054,short_descriptionLIKEDynatrace: TSO Adapter in fault state^EQ
AUT0002041,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=23535e7cdb1f6410609eae3bd39619b2^EQ
AUT0002038,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEProcess webLogic^business_service=c573d2bcdb1f6410609eae3bd39619f6^EQ
AUT0002023,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Process unavailable - Classic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - Classic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=49535a7cdb1f6410609eae3bd3961983^EQ
AUT0002021,"short_descriptionLIKELook for ""FAILED file"" string in logs^ORshort_descriptionLIKELook for ""still not delivered after"" string in logs^ORshort_descriptionLIKELook for ""FAILED file and exiting"" string in logs^EQ"
AUT0002020,short_descriptionLIKEFailure in EDW_Feed_Generation Process^assignment_group=a6aaa78b1b5fa4d0bdcb42a7b04bcb53^EQ
AUT0002013,short_descriptionLIKELow disk space^ORshort_descriptionLIKEmount has high disk space^assignment_group=b9aa278b1b5fa4d0bdcb42a7b04bcb0a^EQ
AUT0002007,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=d9535a7cdb1f6410609eae3bd39619d4^EQ
AUT0002004,short_descriptionLIKEStandard assignment group test^EQ
AUT0002003,short_descriptionSTARTSWITHDynatrace: Low disk space^assignment_group=1daaa38b1b5fa4d0bdcb42a7b04bcb06^descriptionLIKEtotal available space on disk /SDP9622911^EQ
AUT0002003,short_descriptionSTARTSWITHUtah Upgrade testing advance^EQ
AUT0002002,short_descriptionSTARTSWITHStandard assignment group test^EQ
AUT0001997,short_descriptionSTARTSWITHUtah Upgrade testing advance^EQ
AUT0001997,short_descriptionLIKE/apps/eenpm Mt point filled^assignment_group=33aaeb8b1b5fa4d0bdcb42a7b04bcb5a^EQ
AUT0001996,short_descriptionSTARTSWITHKrishna Upgrade testing advance^assignment_groupLIKE247CLOUDOPSHELP^EQ
AUT0001995,short_descriptionLIKE777_PROFILE_ERR_20391^short_descriptionLIKEMissing extras^descriptionLIKERVS^descriptionLIKEDN^assignment_group=0baa2b8b1b5fa4d0bdcb42a7b04bcb5c^EQ
AUT0001992,short_descriptionLIKEOrder Issues^short_descriptionLIKEKCI^short_descriptionNOT LIKEcancel^ORshort_descriptionNOT LIKECancel^ORshort_descriptionNOT LIKECANCEL^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^ORassignment_group=70caebcb1b5fa4d0bdcb42a7b04bcb3e^EQ
AUT0001985,short_descriptionLIKEMSEO_nullDNPresponse_777^ORshort_descriptionLIKEmseo_null^ORshort_descriptionLIKEMSEO_null^short_descriptionLIKEMissing extras^EQ
AUT0001983,short_descriptionLIKE/data/voip/asg/Trap/SMLOGScan_#.log^EQ
AUT0001982,short_descriptionLIKEDynatrace: GSrPACS SS tool DQ updates^assignment_group=22aaa78b1b5fa4d0bdcb42a7b04bcb14^EQ
AUT0001981,business_service=49535a7cdb1f6410609eae3bd3961983^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/wls_domains^ORdescriptionLIKE/wls_domains_logs^ORdescriptionLIKE/logs^ORdescriptionLIKE/var^EQ
AUT0001979,short_descriptionSTARTSWITH : CS Agent^short_descriptionLIKEMy EE email address already registered^short_descriptionENDSWITH-testing-in-progress^EQ
AUT0001978,short_descriptionLIKEStandard assignment group test^EQ
AUT0001975,short_descriptionLIKEDynatrace: Host gracefully shutdown^ORshort_descriptionLIKEDynatrace: Host gracefully shutdown -^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^business_service=ba53da7cdb1f6410609eae3bd39619a8^ORbusiness_service=3a839abcdb1f6410609eae3bd396194c^EQ
AUT0001974,short_descriptionSTARTSWITH$$PRO NA CCCMQ0030E^EQ
AUT0001973,business_service=236392bcdb1f6410609eae3bd3961932^ORbusiness_service=af6392bcdb1f6410609eae3bd3961930^short_descriptionLIKEsoft complete^ORshort_descriptionLIKEsoft cancel^descriptionLIKEOrderRef^EQ
AUT0001955,business_service=d9535a7cdb1f6410609eae3bd39619d4^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/appProd^ORdescriptionLIKE/var^EQ
AUT0001942,short_descriptionSTARTSWITHtesting-pipeline-trigger^EQ
AUT0001941,short_descriptionSTARTSWITHhello-world^^^EQ
AUT0001924,short_descriptionLIKEdelete BT ID^ORshort_descriptionLIKEdelete bt id^ORshort_descriptionLIKEDelete BTID^ORshort_descriptionLIKEDelete BT ID^ORshort_descriptionLIKEDelete bt ID^ORshort_descriptionLIKEdelete BT id^ORshort_descriptionLIKEDelete BT id^ORshort_descriptionLIKEactivate^business_serviceLIKEAPP04910^ORbusiness_serviceLIKEAPP07349^EQ
AUT0001914,short_descriptionLIKEMy EE - Password reset - Link received but not working^assignment_group=73aaeb8b1b5fa4d0bdcb42a7b04bcb22^short_descriptionNOT LIKEUnable to log in^EQ
AUT0001901,business_service=236392bcdb1f6410609eae3bd3961932^ORcmdb_ci=236392bcdb1f6410609eae3bd3961932^short_descriptionLIKEOrder stuck with Provident error^EQ
AUT0001896,short_descriptionLIKEA service set to autostart has crashed and is currently down RaMgmtSvc^ORshort_descriptionLIKEA service set to autostart has crashed and is currently down OpenSSHServer^assignment_group=deaa678b1b5fa4d0bdcb42a7b04bcbb6^EQ
AUT0001894,short_descriptionLIKEOrder stuck with error 707^business_service=236392bcdb1f6410609eae3bd3961932^ORcmdb_ci=236392bcdb1f6410609eae3bd3961932^EQ
AUT0001892,short_descriptionLIKEOrder stuck with error NV004^business_service=236392bcdb1f6410609eae3bd3961932^ORcmdb_ci=236392bcdb1f6410609eae3bd3961932^EQ
AUT0001891,short_descriptionLIKEOrder stuck with error 704^business_service=236392bcdb1f6410609eae3bd3961932^ORcmdb_ci=236392bcdb1f6410609eae3bd3961932^EQ
AUT0001890,short_descriptionLIKEDynatrace: Low disk space^assignment_group=1daaa38b1b5fa4d0bdcb42a7b04bcb06^descriptionLIKEdisk /SDP9622911 is lower^EQ
AUT0001889,business_service=b5539a7cdb1f6410609eae3bd3961983^ORcmdb_ci=b5539a7cdb1f6410609eae3bd3961983^short_description=Business ZeroOps: FLOW_OS_ORDER_SYNC AR^EQ
AUT0001873,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space -  blp08313025^assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb1f^EQ
AUT0001872,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space -  blp10765028^assignment_group=77aaeb8b1b5fa4d0bdcb42a7b04bcb61^EQ
AUT0001871,business_serviceLIKEAPP04910^short_descriptionLIKE20018^short_descriptionLIKEMissing extras^descriptionLIKEDN^EQ
AUT0001870,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=7b535e7cdb1f6410609eae3bd39619d6^EQ
AUT0001865,assignment_group=b5ba63cb1b5fa4d0bdcb42a7b04bcbaf^short_descriptionLIKEDynatrace: Low disk space^NQshort_descriptionLIKEDynatrace: Diskspace^assignment_group=b5ba63cb1b5fa4d0bdcb42a7b04bcbaf^EQ
AUT0001860,assignment_group=5aaa678b1b5fa4d0bdcb42a7b04bcb6a^short_descriptionSTARTSWITHDynatrace: Low disk space^EQ
AUT0001858,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space^assignment_group=f7aaeb8b1b5fa4d0bdcb42a7b04bcb5e^EQ
AUT0001852,short_descriptionLIKEbill^ORshort_descriptionLIKEBill^short_descriptionLIKEview^ORshort_descriptionLIKEView^business_serviceLIKEAPP07349^assignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^short_descriptionNOT LIKESIEBEL^EQ
AUT0001847,short_descriptionLIKEMy BT Login Issues^ORshort_descriptionLIKEUnable to log in^ORshort_descriptionLIKEunable to login^ORshort_descriptionLIKEUNABLE TO LOG IN^ORshort_descriptionLIKEUnable to login^ORshort_descriptionLIKEUnable to Login^ORshort_descriptionLIKEUnable to Log in^ORshort_descriptionLIKEalready exist^ORshort_descriptionLIKEAlready exist^assignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^business_serviceLIKEAPP07349^short_descriptionNOT LIKEcreate^short_descriptionNOT LIKE2SA^short_descriptionNOT LIKE2sa^short_descriptionNOT LIKE2Sa^short_descriptionNOT LIKEdelete^short_descriptionNOT LIKEDelete^short_descriptionNOT LIKEremove^short_descriptionNOT LIKERemove^descriptionNOT LIKEdelete^descriptionNOT LIKEDelete^descriptionNOT LIKECreate^short_descriptionNOT LIKEcreate^descriptionNOT LIKEcreate^descriptionNOT LIKEremove^descriptionNOT LIKERemove^short_descriptionNOT LIKEadd^short_descriptionNOT LIKEAdd^short_descriptionNOT LIKEADD^short_descriptionNOT LIKEOther Issues^short_descriptionNOT LIKEEmail Related Issues^short_descriptionLIKEMy BT Login Issues^short_descriptionNOT LIKEPassword^short_descriptionNOT LIKEpassword^short_descriptionNOT LIKEactivate^EQ
AUT0001845,short_descriptionLIKEGSrPACS ICG S-Tag CHANGE^EQ
AUT0001844,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space -  blp06816031^assignment_group=57aa6b8b1b5fa4d0bdcb42a7b04bcb1c^EQ
AUT0001841,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=65ba63cb1b5fa4d0bdcb42a7b04bcb16^EQ
AUT0001836,short_descriptionLIKEMonitorIT^short_descriptionLIKETCA – An error has occurred^business_serviceLIKEAPP05411-PROD-BTP POD^ORbusiness_serviceLIKEAPP05411-FALLBACK-BTP POD^EQ
AUT0001834,short_descriptionLIKEGSrPACS Swagger tool update^EQ
AUT0001831,short_descriptionSTARTSWITHDynatrace:^short_descriptionLIKELow disk space^assignment_group=80baeb8b1b5fa4d0bdcb42a7b04bcb97^EQ
AUT0001822,short_descriptionLIKEDynatrace: Process unavailable - Weblogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=6e939ebcdb1f6410609eae3bd39619b3^EQ
AUT0001817,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=d3535e7cdb1f6410609eae3bd3961942^EQ
AUT0001809,short_descriptionSTARTSWITHtest-release-lock-mechanism^EQ
AUT0001803,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=487392bcdb1f6410609eae3bd39619f3^EQ
AUT0001802,short_description=High Thread count^EQ
AUT0001800,short_descriptionLIKEzcfisd01^ORshort_descriptionLIKEZCFISD01^short_descriptionNOT LIKEMDAID^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^business_serviceLIKEAPP06119^EQ
AUT0001797,short_descriptionSTARTSWITHDynatrace^short_descriptionLIKEFailure rate increase^assignment_group=1baa6b8b1b5fa4d0bdcb42a7b04bcb69^EQ
AUT0001796,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKE/etc/httpd/bin/httpd is not available - Raise a P2 record to UKGRBRAND and call^assignment_group=1baa6b8b1b5fa4d0bdcb42a7b04bcb69^EQ
AUT0001795,short_descriptionLIKEProcess unavailable - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=fb535e7cdb1f6410609eae3bd39619fe^EQ
AUT0001788,short_descriptionLIKEEmail Related Issues^short_descriptionLIKEunable to login^assignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^business_serviceLIKEAPP07349^EQ
AUT0001786,short_descriptionLIKEsvcalreadyexists^ORshort_descriptionLIKEalready exists^ORshort_descriptionLIKEIP Voice service already^assignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^business_serviceLIKEAPP04910^EQ
AUT0001782,short_descriptionLIKE/wls_domains is 90^short_descriptionLIKEblp14722061^ORshort_descriptionLIKEblp14722105^ORshort_descriptionLIKEblp14722110^ORshort_descriptionLIKEblp14722055^ORshort_descriptionLIKEblp14722056^ORshort_descriptionLIKEblp14722054^ORshort_descriptionLIKEblp14722063^ORshort_descriptionLIKEblp14722076^ORshort_descriptionLIKEblp14722099^ORshort_descriptionLIKEblp14722064^ORshort_descriptionLIKEblp14722102^ORshort_descriptionLIKEblp14722163^ORshort_descriptionLIKEblp14722072^ORshort_descriptionLIKEblp14722073^ORshort_descriptionLIKEblp14722074^ORshort_descriptionLIKEblp14722077^ORshort_descriptionLIKEblp14722078^ORshort_descriptionLIKEblp14722079^ORshort_descriptionLIKEblp14722080^ORshort_descriptionLIKEblp14722101^ORshort_descriptionLIKEblp14722103^ORshort_descriptionLIKEblp14722106^ORshort_descriptionLIKEblp14722107^ORshort_descriptionLIKEblp14722108^ORshort_descriptionLIKEblp14722109^ORshort_descriptionLIKEblp14722199^ORshort_descriptionLIKEblp14722200^ORshort_descriptionLIKEblp14722201^ORshort_descriptionLIKEblp14722202^EQ
AUT0001779,short_descriptionLIKEservice down- blt20235^EQ
AUT0001768,assignment_group=209c9b411b9111548e7440c3b24bcb25^short_descriptionLIKEXinetd Process down^EQ
AUT0001764,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=65ba63cb1b5fa4d0bdcb42a7b04bcb16^EQ
AUT0001762,short_descriptionLIKEDynatrace: Citrix - AppV - Failure^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^EQ
AUT0001750,short_descriptionLIKE/apps/BT/Survey/logs/procstatus.log^assignment_group=9ba3b03b1b18711cf885dc66bd4bcb33^EQ
AUT0001748,assignment_group=9ba3b03b1b18711cf885dc66bd4bcb33^short_descriptionLIKELoost^short_descriptionLIKEsmpp.log^short_descriptionSTARTSWITHMonitorIT^EQ
AUT0001746,short_description=BTAEM - Portal-author standby is not in sync with primary server^EQ
AUT0001734,descriptionLIKELow disk space^descriptionLIKEdisk / is^short_descriptionLIKEDynatrace: APP15401^business_serviceLIKEAPP15401^assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^EQ
AUT0001733,short_descriptionLIKERef only^assignment_group=b8baaf8b1b5fa4d0bdcb42a7b04bcb4d^ORassignment_group=f8baaf8b1b5fa4d0bdcb42a7b04bcb62^ORassignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcb69^ORassignment_group=b4baaf8b1b5fa4d0bdcb42a7b04bcb5e^ORassignment_group=02aa278b1b5fa4d0bdcb42a7b04bcba5^EQ
AUT0001725,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=65ba63cb1b5fa4d0bdcb42a7b04bcb16^EQ
AUT0001724,short_descriptionLIKEDynatrace: CPU saturation^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^EQ
AUT0001723,short_descriptionSTARTSWITHsuk_myee_test_snow^EQ
AUT0001721,short_description!=sox/icofr^EQ
AUT0001719,business_service=fc535a7cdb1f6410609eae3bd396193b^short_descriptionLIKEDynatrace: Low disk space^ORshort_descriptionLIKEDynatrace: Low Disk Availability^descriptionLIKE/logs^ORdescriptionLIKE/archive^ORdescriptionLIKE/var^NQbusiness_service=fc535a7cdb1f6410609eae3bd396193b^short_descriptionLIKEMonitorIT^short_descriptionLIKE/logs is exceeding^ORshort_descriptionLIKE/archive is exceeding^ORshort_descriptionLIKE/var^EQ
AUT0001718,short_descriptionLIKEMonitorIT^short_descriptionLIKEsendmail process^business_service=fb535e7cdb1f6410609eae3bd39619fe^ORcmdb_ci=fb535e7cdb1f6410609eae3bd39619fe^EQ
